MEET, NAME,                  FX,     PH,     SR,     VT,     PB,     HB,     AA
"usa_ot1", "Fred Richard",        14.700, 13.450, 13.800, 14.200, 15.050, 14.400, 85.600
"usa_ot1", "Brody Malone",        13.750, 13.450, 14.250, 14.600, 14.750, 14.300, 85.100
"usa_ot1", "Shane Wiskus",        14.350, 13.550, 13.950, 14.400, 14.500, 13.550, 84.300
"usa_ot1", "Paul Juda",           14.600, 14.050, 13.800, 14.200, 14.050, 13.450, 84.150
"usa_ot1", "Asher Hong",          14.350, 12.800, 14.450, 14.350, 14.650, 13.100, 83.700
"usa_ot1", "Yul Moldauer",        14.200, 13.100, 13.850, 14.500, 15.150, 12.900, 83.700
"usa_ot1", "Cameron Bock",        14.150, 14.000, 13.700, 14.000, 14.350, 13.250, 83.450
"usa_ot1", "Fuzzy Benas",         13.950, 13.450, 13.450, 14.150, 14.450, 13.650, 83.100
"usa_ot1", "Donnell Whittenburg", 13.650, 12.350, 14.150, 13.700, 14.100, 13.000, 80.950
"usa_ot1", "Colt Walker",         12.700, 13.250, 13.650, 14.200, 14.850, 11.950, 80.600
"usa_ot1", "Jeremy Bischoff",     13.050, 13.350, 13.700, 13.750, 12.450, 13.600, 79.900
"usa_ot1", "Khoi Young",          13.500, 11.650, 13.000, 14.950, 14.400, 12.100, 79.600
"usa_ot1", "Kai Uemura",          13.050, 13.250, 12.850, 13.550, 11.750, 13.200, 77.650
"usa_ot1", "Kiran Mandava",       12.700, 12.000, 12.800, 13.900, 13.500, 11.900, 76.800
"usa_ot1", "Tate Costa",          12.250, 12.650, 11.450, 13.400, 13.200, 13.150, 76.100
"usa_ot1", "Curran Phillips",     12.200, NA,     NA,     14.400, 15.600, 12.400, NA
"usa_ot1", "Joshua Karnes",       NA,     13.100, NA,     NA,     14.400, 13.150, NA
"usa_ot1", "Alex Diab",           NA,     NA,     14.600, NA,     NA,     NA,     NA
"usa_ot1", "Stephen Nedoroscik",  NA,     14.450, NA,     NA,     NA,     NA,     NA
"usa_ot1", "Patrick Hoopes",      NA,     14.450, NA,     NA,     NA,     NA,     NA
