TEAM, NAME
"CHN", "Liu Yang"
"CHN", "Sun Wei" 
"CHN", "Xiao Ruoteng"
"CHN", "Zhang Boheng"
"CHN", "Zou Jingyuan"
"JPN", "Hashimoto Daiki"
"JPN", "Kaya Kazuma"
"JPN", "Oka Shinnosuke"
"JPN", "Sugino Takaaki"
"JPN", "Tanigawa Wataru"
"GBR", "Joe Fraser"
"GBR", "Harry Hepworth"
"GBR", "Jake Jarman"
"GBR", "Luke Whitehouse"
"GBR", "Max Whitlock"
"USA", "Asher Hong"
"USA", "Paul Juda"
"USA", "Brody Malone"
"USA", "Stephen Nedoroscik"
"USA", "Fred Richard"
"CAN", "Zachary Clay"
"CAN", "René Cournoyer"
"CAN", "Félix Dolci"
"CAN", "William Émard"
"CAN", "Samuel Zakutney"
"GER", "Pascal Brendel"
"GER", "Lukas Dauser"
"GER", "Nils Dunkel"
"GER", "Timo Eder"
"GER", "Andreas Toba"
"ITA", "Yumin Abbadini"
"ITA", "Nicola Bartolini"
"ITA", "Lorenzo Casali"
"ITA", "Mario Macchiati"
"ITA", "Carlo Macchini"
"SWI", "Luca Giubellini"
"SWI", "Matteo Giubellini"
"SWI", "Florian Langenegger"
"SWI", "Noe Seifert"
"SWI", "Taha Serhani"
"ESP", "Néstor Abad"
"ESP", "Thierno Diallo"
"ESP", "Nicolau Mir"
"ESP", "Joel Plata"
"ESP", "Rayderley Zapata"
"TUR", "Ferhat Arican"
"TUR", "Adem Asil"
"TUR", "Ibrahim Colak"
"TUR", "Emre Dodanli"
"TUR", "Ahmet Önder"
"NDL", "Loran de Munck"
"NDL", "Martijn de Veer"
"NDL", "Jermain Grünberg"
"NDL", "Frank Rijken"
"NDL", "Casimir Schmidt"
"UKR", "Nazar Chepurnyi"
"UKR", "Illia Kovtun"
"UKR", "Igor Radivilov"
"UKR", "Radomyr Stelmakh"
"UKR", "Oleg Verniaiev"
